Target	Double
1	8e-06
2	6.4e-05
3	0.000121
4	0.000219
5	0.000363
6	0.000493
7	0.000758
8	0.000914
9	0.001212
10	0.001467
11	0.00167
12	0.002068
13	0.002405
14	0.002798
15	0.003098
16	0.003474
17	0.003943
18	0.004386
19	0.004833
20	0.005365
21	0.006002
22	0.006451
23	0.007093
24	0.007605
25	0.008349
26	0.008625
27	0.009446
28	0.010065
29	0.010602
30	0.011242
31	0.011994
32	0.01273
33	0.01329
34	0.014041
35	0.014784
36	0.015576
37	0.016434
38	0.017069
39	0.017505
40	0.018515
41	0.019396
42	0.019907
43	0.020794
44	0.021759
45	0.022631
46	0.023554
47	0.02411
48	0.024658
49	0.025765
50	0.026527
51	0.025841
52	0.025353
53	0.024295
54	0.023729
55	0.022739
56	0.021987
57	0.021128
58	0.020178
59	0.019885
60	0.019095
61	0.01837
62	0.01742
63	0.016556
64	0.01579
65	0.015054
66	0.014401
67	0.013666
68	0.013127
69	0.012398
70	0.011719
71	0.010976
72	0.010405
73	0.009734
74	0.009092
75	0.008409
76	0.007951
77	0.0073
78	0.006764
79	0.006239
80	0.005688
81	0.005047
82	0.004802
83	0.004242
84	0.003716
85	0.003373
86	0.003031
87	0.002581
88	0.002288
89	0.001841
90	0.001548
91	0.001328
92	0.001047
93	0.000819
94	0.000605
95	0.00043
96	0.000296
97	0.000149
98	7.4e-05
99	2.3e-05
